species,decimalLongitude,decimalLatitude
Anabaena,22.37417,65.80667
Anabaena,18.432,63.035
Anabaena,16.56367,58.44867
Anabaena,22.44683,65.73
Anabaena,16.38633,58.64067
Anabaena,19.92334,63.61536
Anabaena,19.92145,63.61183
Anabaena,22.27768,65.63102
Anabaena,22.27467,65.63079
Anabaena,22.11444,65.51672
Anabaena,20.43181,63.71095
Anabaena,20.42726,63.70906
Anabaena,21.03525,64.85757
Anabaena,20.69044,63.84903
Anabaena,20.70346,63.83087
Anabaena,21.97644,65.47475
Anabaena,22.04361,65.48991
Anabaena,22.25156,65.66445
Anabaena,20.39906,63.6908
Anabaena,20.39906,63.68799
Anabaena,22.446,65.73017
Anabaena,22.37533,65.80767
Anabaena,22.27341,65.62811
Anabaena,21.94304,65.5159
Anabaena,20.42767,63.71148
Anabaena,20.69433,63.84746
Anabaena,22.23952,65.66597
Anabaena,20.40458,63.68592
Anabaena,19.8185,63.5
Anabaena,22.44617,65.73017
Anabaena,22.448,65.73017
Anabaena,19.80833,63.52533
Anabaena,11.76167,57.98967
Anabaena,19.808,63.52467
Anabaena,22.44683,65.73017
Anabaena,19.17,63.29833
Anabaena,19.1375,63.2975
Anabaena,19.18167,63.3125
Anabaena,19.17797,63.31266
Anabaena,19.13652,63.29612
Anabaena,19.16534,63.29508
Anabaena,22.37617,65.80767
Anabaena,16.40717,58.60015
Anabaena,12.77883,56.48467
Anabaena,22.30867,65.6695
Anabaena,22.27183,65.68067
Anabaena,22.27917,65.6805
Anabaena,22.26583,65.6875
Anabaena,22.25167,65.66717
Anabaena,22.25783,65.6455
Anabaena,21.02817,64.84783
Anabaena,22.27983,65.627
Anabaena,21.037,64.85717
Anabaena,22.24217,65.67233
Anabaena,22.262,65.6595
Anabaena,21.42767,65.3105
Anabaena,21.08333,64.82317
Anabaena,20.37767,63.687
Anabaena,20.26233,63.66917
Anabaena,20.26533,63.66967
Anabaena,20.366,63.693
Anabaena,19.91667,63.61417
Anabaena,20.399,63.698
Anabaena,20.4055,63.686
Anabaena,20.406,63.6905
Anabaena,20.39867,63.68967
Anabaena,20.2735,63.66433
Anabaena,20.27233,63.65933
Anabaena,20.26433,63.66183
Anabaena,12.05,57.4067
Anabaena,12.0292,57.36
Anabaena,11.76833,57.67833
Anabaena,11.80833,57.535
Anabaena,21.69033,65.396
Anabaena,21.61583,65.31283
Anabaena,21.61017,65.31517
Anabaena,21.564,65.3825
Anabaena,21.57767,65.37167
Anabaena,21.11767,64.7845
Anabaena,21.53467,65.337
Anabaena,21.53733,65.34217
Anabaena,21.68417,65.393
Anabaena,21.6405,65.3145
Anabaena,21.66417,65.29467
Anabaena,21.55083,65.3805
Anabaena,21.52433,65.39383
Anabaena,21.52133,65.32117
Anabaena,21.49033,65.359
Anabaena,21.47217,65.34817
Anabaena,21.49783,65.35783
Anabaena,21.5325,65.3565
Anabaena,20.495,63.829
Anabaena,22.4475,65.73
Anabaena,17.36984,62.46244
Anabaena,22.30283,65.67783
Anabaena,22.31433,65.6705
Anabaena,22.24667,65.6535
Anabaena,21.08133,64.82517
Anabaena,21.3135,65.358
Anabaena,22.24633,65.65067
Anabaena,21.03417,64.85683
Anabaena,22.263,65.6365
Anabaena,20.379,63.6875
Anabaena,20.36667,63.69233
Anabaena,19.92233,63.61383
Anabaena,20.39717,63.69383
Anabaena,20.40433,63.69217
