taxa,species,Lon,Lat,bio1,bio8,bio9,bio18,altitude
Cyanobacteria,Anabaena,22.3745,65.80733,1.2,12.4,-6.4,146,11
Cyanobacteria,Anabaena,18.8527,59.31379,6.4,15,4.7,146,9
Cyanobacteria,Anabaena,10.569384,59.814999,6.5,11.7,0.7,222,10
Cyanobacteria,Anabaena,18.70947,59.33299,6.5,15.1,4.9,151,13
Cyanobacteria,Anabaena,18.26417,62.8635,3.3,13.5,-3.3,184,48
Cyanobacteria,Anabaena,19.81867,63.49967,3,13.3,-3.8,171,2
Cyanobacteria,Anabaena,18.2655,62.86367,3.3,13.5,-3.3,184,48
Cyanobacteria,Anabaena,19.81917,63.499,3,13.3,-3.8,171,2
Cyanobacteria,Anabaena,22.44717,65.72967,1.4,12.6,-6.3,146,1
Cyanobacteria,Anabaena,18.90051,59.74159,5.9,14.6,-0.1,154,16
Cyanobacteria,Anabaena,22.37533,65.80733,1.2,12.4,-6.4,146,11
Cyanobacteria,Anabaena,18.2655,62.8635,3.3,13.5,-3.3,184,48
Cyanobacteria,Anabaena,18.26467,62.86367,3.3,13.5,-3.3,184,48
Cyanobacteria,Anabaena,22.44767,65.73033,1.4,12.6,-6.3,146,1
Cyanobacteria,Anabaena,18.6845,63.237,3.1,13.4,-3.6,182,34
Cyanobacteria,Anabaena,18.70367,63.21883,3.1,13.4,-3.6,182,34
Cyanobacteria,Anabaena,18.755,63.22217,3.1,13.4,-3.6,179,25
Cyanobacteria,Anabaena,18.703,63.22833,3.1,13.4,-3.6,182,34
Cyanobacteria,Anabaena,18.85633,63.28367,3,13.3,-3.7,179,33
Cyanobacteria,Anabaena,18.86833,63.28133,3,13.3,-3.7,179,33
Cyanobacteria,Anabaena,18.12167,62.814,3.5,13.5,-3.2,185,52
Cyanobacteria,Anabaena,18.0505,62.83117,3.7,13.6,-2.9,183,15
Cyanobacteria,Anabaena,18.07633,62.8365,3.4,13.3,-3.2,186,48
Cyanobacteria,Anabaena,18.0035,62.8365,3.4,13.3,-3.2,186,48
Cyanobacteria,Anabaena,18.32867,62.87167,3.3,13.5,-3.3,184,48
Cyanobacteria,Anabaena,18.52844,59.23552,6.7,15.3,0.7,155,24
Cyanobacteria,Anabaena,18.263,62.8635,3.3,13.5,-3.3,184,48
Cyanobacteria,Anabaena,22.37617,65.80833,1.2,12.4,-6.4,146,11
Cyanobacteria,Anabaena,22.44667,65.73417,1.4,12.6,-6.3,146,1
Cyanobacteria,Anabaena,18.73267,63.2345,3.1,13.4,-3.6,182,34
Cyanobacteria,Anabaena,18.86083,63.28167,3,13.3,-3.7,179,33
Cyanobacteria,Anabaena,18.8735,63.265,3,13.3,-3.7,179,33
Cyanobacteria,Anabaena,18.08867,62.81617,3.5,13.5,-3.2,185,52
Cyanobacteria,Anabaena,18.03383,62.85067,3.4,13.3,-3.2,186,48
Cyanobacteria,Anabaena,18.32533,62.87,3.3,13.5,-3.3,184,48
Cyanobacteria,Anabaena,18.51828,63.07405,3.3,13.5,-3.4,180,19
Cyanobacteria,Anabaena,18.48355,63.0407,3.2,13.3,-3.5,183,49
Cyanobacteria,Anabaena,19.07576,59.72191,5.7,14.5,-0.2,151,19
