taxa,species,Lon,Lat,parmax,parmean,nitratemin,nitraterange,phosphatemin,phosphaterange,ppmin,pprange,salinityrange,dissoxrange,biogeo13tmean,biogeo15tmax,bathymetry
Cyanobacteria,Nodularia spumigena,17.59841,58.86936,47.61000061,32.816,0.015,0.627,0.108,0.355,0.002,0.008,1.346,161.857,7.97,18.79,-10
Cyanobacteria,Nodularia spumigena,12.65217,56.3155,47.65800095,32.629,0.053,0.668,0.097,0.159,0.004,0.013,11.721,144.71,9.88,19.34,-20
Cyanobacteria,Nodularia spumigena,13.03667,55.68667,50.62099838,33.934,0.01,0.166,0.298,0.222,0.002,0.004,1.905,153.808,9.46,18.8,-5
Cyanobacteria,Nodularia spumigena,13.0188,55.34712,48.79100037,33.197,0.002,0.098,0.302,0.226,0.001,0.004,1.829,147.694,9.39,18.63,-10
Cyanobacteria,Nodularia spumigena,13.64303,55.38588,47.56299973,32.473,0,0.091,0.299,0.246,0,0.003,1.321,141.463,9.34,18.83,-15
Cyanobacteria,Nodularia spumigena,18.4275,62.957,50.47999954,32.69,0.039,1.764,0,0.208,0.001,0.007,1.191,153.967,5.85,15.94,-18
Cyanobacteria,Nodularia spumigena,18.77867,63.15867,47.53099823,34.427,0.029,1.888,0,0.206,0.001,0.008,1.296,155.607,6.41,16.42,-43
Cyanobacteria,Nodularia spumigena,18.70181,60.15101,46.21300125,34.309,0.002,0.46,0.004,0.26,0,0.004,0.724,157.719,7.29,17.12,-18
Cyanobacteria,Nodularia spumigena,19.8085,63.52467,47.5320015,35.81,0.188,2.506,0,0.2,0.001,0.014,1.596,157.802,5.91,16.63,-8
Cyanobacteria,Nodularia spumigena,12.79608,55.869,46.73199844,32.789,0.035,0.52,0.169,0.19,0.003,0.009,8.641,151.075,9.53,18.15,-9
Cyanobacteria,Nodularia spumigena,20.52082,63.69362,47.86800003,35.763,0.905,2.561,0,0.15,0.001,0.016,2.403,156.68,5.75,16.1,-11
Cyanobacteria,Nodularia spumigena,20.32083,63.60971,47.24900055,35.451,0.658,2.555,0,0.18,0.001,0.018,2.02,156.954,5.89,16.34,-11
Cyanobacteria,Nodularia spumigena,17.4071,60.6623,46.19800186,32.036,0.086,1.673,0,0.193,0.002,0.013,0.513,158.621,6.87,17.59,-9
Cyanobacteria,Nodularia spumigena,17.16637,60.95757,47.04999924,32.549,0.07,1.544,0,0.188,0.001,0.01,0.547,156.739,5.94,15.83,-5
Cyanobacteria,Nodularia spumigena,17.28398,60.69692,46.9469986,33.455,0.093,1.679,0,0.191,0.002,0.013,0.508,158.26,6.58,16.86,-5
Cyanobacteria,Nodularia spumigena,19.81917,63.49967,47.87400055,35.638,0.111,2.47,0,0.2,0.001,0.012,1.58,157.996,5.84,16.02,-10
Cyanobacteria,Nodularia spumigena,18.6734,59.37828,45.74700165,31.997,0,0.465,0.069,0.342,0,0.005,1.188,168.793,7.71,17.59,-5
Cyanobacteria,Nodularia spumigena,18.38358,59.26851,47.0019989,33.727,0,0.464,0.076,0.339,0,0.005,1.132,169.488,7.38,17.07,-4
Cyanobacteria,Nodularia spumigena,18.2635,62.86367,48.19200134,34.782,0.04,1.716,0,0.209,0.001,0.007,1.146,153.718,6.08,17.33,-35
Cyanobacteria,Nodularia spumigena,18.34321,59.36615,47.54199982,32.73,0,0.434,0.072,0.333,0,0.004,1.161,170.985,7.32,17.35,-2
Cyanobacteria,Nodularia spumigena,18.39062,59.43943,45.49300003,32.855,0,0.433,0.071,0.333,0,0.004,1.149,170.503,7.46,17.19,-9
Cyanobacteria,Nodularia spumigena,18.26433,62.86317,48.19200134,34.782,0.04,1.716,0,0.209,0.001,0.007,1.146,153.718,6.08,17.33,-35
Cyanobacteria,Nodularia spumigena,18.50733,63.06567,47.13299942,33.781,0.035,1.83,0,0.207,0.001,0.007,1.241,154.711,6.24,16.34,-27
Cyanobacteria,Nodularia spumigena,18.87417,63.26733,46.75999832,33.667,0.021,2.017,0,0.207,0.001,0.008,1.334,156.863,5.66,17.45,-4
Cyanobacteria,Nodularia spumigena,18.86383,63.28317,46.75999832,33.667,0.021,2.017,0,0.207,0.001,0.008,1.334,156.863,5.66,17.45,-4
Cyanobacteria,Nodularia spumigena,18.33283,62.87683,48.19200134,34.782,0.04,1.716,0,0.209,0.001,0.007,1.146,153.718,6.08,17.33,-35
Cyanobacteria,Nodularia spumigena,18.68117,63.233,46.52000046,33.786,0.026,1.936,0,0.207,0.001,0.008,1.309,156.2,5.35,17.39,-12
Cyanobacteria,Nodularia spumigena,19.809,63.52467,47.5320015,35.81,0.188,2.506,0,0.2,0.001,0.014,1.596,157.802,5.91,16.63,-8
Cyanobacteria,Nodularia spumigena,18.31974,59.29523,47.0019989,33.727,0,0.466,0.076,0.34,0,0.005,1.129,169.281,7.29,17.12,-12
Cyanobacteria,Nodularia spumigena,25.3,60.25,48.10100174,35.305,5.744,11.916,0,0.211,0.002,0.016,2.717,167.157,7.23,18.26,-8
Cyanobacteria,Nodularia spumigena,18.42203,62.95872,50.47999954,32.69,0.039,1.764,0,0.208,0.001,0.007,1.191,153.967,5.85,15.94,-18
Cyanobacteria,Nodularia spumigena,18.58133,63.11483,46.68899918,33.773,0.033,1.848,0,0.207,0.001,0.007,1.287,155.1,6.11,16.45,-16
Cyanobacteria,Nodularia spumigena,18.571,63.06583,47.13299942,33.781,0.035,1.83,0,0.207,0.001,0.007,1.241,154.711,6.24,16.34,-27
Cyanobacteria,Nodularia spumigena,18.37725,59.32534,47.0019989,33.727,0,0.464,0.076,0.339,0,0.005,1.132,169.488,7.38,17.07,-4
Cyanobacteria,Nodularia spumigena,19.81883,63.49967,47.87400055,35.638,0.111,2.47,0,0.2,0.001,0.012,1.58,157.996,5.84,16.02,-10
Cyanobacteria,Nodularia spumigena,18.4104,62.95703,50.47999954,32.69,0.038,1.759,0,0.208,0.001,0.007,1.18,153.982,5.67,16.19,-25
Cyanobacteria,Nodularia spumigena,18.51235,62.94962,48.17499924,34.47,0.036,1.784,0,0.208,0.001,0.007,1.193,154.005,6.39,16.42,-46
Cyanobacteria,Nodularia spumigena,18.51717,63.0675,47.13299942,33.781,0.035,1.83,0,0.207,0.001,0.007,1.241,154.711,6.24,16.34,-27
Cyanobacteria,Nodularia spumigena,18.479,63.0265,47.13299942,33.781,0.035,1.827,0,0.207,0.001,0.007,1.22,154.702,5.64,16.23,-31
Cyanobacteria,Nodularia spumigena,18.41625,62.97395,50.47999954,32.69,0.038,1.759,0,0.208,0.001,0.007,1.18,153.982,5.67,16.19,-25
Cyanobacteria,Nodularia spumigena,18.57533,63.0055,47.13299942,33.781,0.035,1.83,0,0.207,0.001,0.007,1.241,154.711,6.24,16.34,-27
Cyanobacteria,Nodularia spumigena,18.41863,62.96407,50.47999954,32.69,0.039,1.764,0,0.208,0.001,0.007,1.191,153.967,5.85,15.94,-18
Cyanobacteria,Nodularia spumigena,16.56369,58.44863,45.32400131,32.907,0.028,0.875,0.112,0.374,0.002,0.008,1.27,161.915,6.88,18.3,-2
Cyanobacteria,Nodularia spumigena,11.5933,57.9197,46.43299866,33.611,0.184,2.499,0.011,0.256,0.004,0.03,15.229,136.876,9.68,20.08,-2
Cyanobacteria,Nodularia spumigena,19.8085,63.525,47.5320015,35.81,0.188,2.506,0,0.2,0.001,0.014,1.596,157.802,5.91,16.63,-8
Cyanobacteria,Nodularia spumigena,16.67167,57.99967,46.59899902,31.631,0.021,0.832,0.146,0.356,0.002,0.006,1.145,157.462,7.3,18.23,-2
Cyanobacteria,Nodularia spumigena,18.42883,63.012,47.13299942,33.781,0.035,1.827,0,0.207,0.001,0.007,1.22,154.702,5.64,16.23,-31
Cyanobacteria,Nodularia spumigena,18.72433,63.10883,47.53099823,34.427,0.031,1.885,0,0.206,0.001,0.008,1.293,155.54,6.36,16.33,-42
Cyanobacteria,Nodularia spumigena,18.64533,63.12933,47.53099823,34.427,0.029,1.879,0,0.207,0.001,0.007,1.29,155.454,6.22,16.1,-31
Cyanobacteria,Nodularia spumigena,18.64783,63.17067,48.79999924,34.594,0.026,1.931,0,0.207,0.001,0.008,1.305,156.036,5.48,15.14,-8
Cyanobacteria,Nodularia spumigena,16.73017,58.38933,49.53499985,34.087,0.028,0.894,0.116,0.373,0.002,0.008,1.264,161.386,7.54,17.57,-6
Cyanobacteria,Nodularia spumigena,11.7733,58.3125,46.09400177,32.943,0.067,2.282,0.012,0.254,0.003,0.019,13.89,135.276,9.01,19.06,-9
Cyanobacteria,Nodularia spumigena,16.75339,57.99857,46.59899902,31.631,0.021,0.835,0.145,0.356,0.002,0.006,1.142,157.627,7.81,18.35,-9
Cyanobacteria,Nodularia spumigena,19.819,63.49967,47.87400055,35.638,0.111,2.47,0,0.2,0.001,0.012,1.58,157.996,5.84,16.02,-10
Cyanobacteria,Nodularia spumigena,18.26383,62.86367,48.19200134,34.782,0.04,1.716,0,0.209,0.001,0.007,1.146,153.718,6.08,17.33,-35
Cyanobacteria,Nodularia spumigena,12.51667,56.21667,47.36100006,32.784,0.053,0.684,0.1,0.168,0.004,0.013,11.685,145.565,9.77,18.85,-6
Cyanobacteria,Nodularia spumigena,16.76903,58.61156,46.0530014,33.529,0.029,0.85,0.108,0.374,0.002,0.008,1.32,162.445,7.75,18.6,-10
Cyanobacteria,Nodularia spumigena,19.80817,63.525,47.5320015,35.81,0.188,2.506,0,0.2,0.001,0.014,1.596,157.802,5.91,16.63,-8
Cyanobacteria,Nodularia spumigena,17.62533,58.803,47.39400101,33.614,0.01,0.632,0.11,0.354,0.001,0.006,1.387,161.813,7.9,18.57,-15
Cyanobacteria,Nodularia spumigena,18.2645,62.8635,48.19200134,34.782,0.04,1.716,0,0.209,0.001,0.007,1.146,153.718,6.08,17.33,-35
Cyanobacteria,Nodularia spumigena,21.04117,64.82983,44.97299957,35.275,3.282,3.11,0,0.043,0,0.006,3.345,147.572,4.81,15.79,-6
Cyanobacteria,Nodularia spumigena,18.26567,62.86333,48.19200134,34.782,0.04,1.716,0,0.209,0.001,0.007,1.146,153.718,6.08,17.33,-35
Cyanobacteria,Nodularia spumigena,18.7065,63.15433,47.53099823,34.427,0.031,1.885,0,0.206,0.001,0.008,1.293,155.54,6.36,16.33,-42
Cyanobacteria,Nodularia spumigena,19.822,63.50083,47.5320015,35.81,0.188,2.506,0,0.2,0.001,0.014,1.596,157.802,5.91,16.63,-8
Cyanobacteria,Nodularia spumigena,19.8075,63.525,47.5320015,35.81,0.188,2.506,0,0.2,0.001,0.014,1.596,157.802,5.91,16.63,-8
Cyanobacteria,Nodularia spumigena,19.807,63.5255,47.5320015,35.81,0.188,2.506,0,0.2,0.001,0.014,1.596,157.802,5.91,16.63,-8
Cyanobacteria,Nodularia spumigena,11.10333,58.86833,47.4659996,32.869,0.106,2.272,0.001,0.254,0.002,0.034,12.555,126.521,9.34,18.65,-50
Cyanobacteria,Nodularia spumigena,14.2975,55.65,45.64300156,30.747,0.009,0.222,0.255,0.303,0.001,0.005,1.044,138.674,9.1,18.71,-20
Cyanobacteria,Nodularia spumigena,18.91088,57.68527,50.17599869,33.663,0,0.288,0.185,0.285,0,0.003,0.63,150.021,8.64,18.99,-7
Cyanobacteria,Nodularia spumigena,18.13132,57.40002,50.19800186,35.024,0,0.642,0.185,0.297,0,0.004,0.757,141.454,8.9,18.7,-9
Cyanobacteria,Nodularia spumigena,18.59833,57.855,51.05599976,34.554,0,0.514,0.167,0.284,0,0.004,0.731,141.429,8.39,18.05,-47
Cyanobacteria,Nodularia spumigena,19.03677,57.89317,50.25400162,33.951,0,0.373,0.174,0.284,0,0.004,0.673,146.989,8.22,18.45,-6
Cyanobacteria,Nodularia spumigena,18.86117,59.63282,50.53900146,34.374,0.001,0.416,0.049,0.318,0,0.004,1.12,164.445,7.08,17.1,-2
Cyanobacteria,Nodularia spumigena,18.26383,62.86383,48.19200134,34.782,0.04,1.716,0,0.209,0.001,0.007,1.146,153.718,6.08,17.33,-35
Cyanobacteria,Nodularia spumigena,19.80867,63.52533,47.5320015,35.81,0.188,2.506,0,0.2,0.001,0.014,1.596,157.802,5.91,16.63,-8
Cyanobacteria,Nodularia spumigena,18.26433,62.864,48.19200134,34.782,0.04,1.716,0,0.209,0.001,0.007,1.146,153.718,6.08,17.33,-35
Cyanobacteria,Nodularia spumigena,18.2925,63.0035,46.68600082,32.934,0.039,1.806,0,0.208,0.001,0.007,1.209,154.628,5.69,16.09,-7
Cyanobacteria,Nodularia spumigena,18.44812,62.94882,50.47999954,32.69,0.039,1.764,0,0.208,0.001,0.007,1.191,153.967,5.85,15.94,-18
Cyanobacteria,Nodularia spumigena,11.68667,57.6675,47.29000092,33.27,0.186,2.271,0.017,0.244,0.004,0.032,16.321,136.74,10.28,18.76,-8
Cyanobacteria,Nodularia spumigena,11.40333,58.34333,48.50799942,34.499,0.008,2.052,0.011,0.254,0.003,0.016,13.147,132.063,9.07,19.68,-4
Cyanobacteria,Nodularia spumigena,11.59333,57.91967,46.43299866,33.611,0.184,2.499,0.011,0.256,0.004,0.03,15.229,136.876,9.68,20.08,-2
Cyanobacteria,Nodularia spumigena,14.82417,56.11167,46.15000153,32.357,0.033,0.252,0.224,0.33,0.002,0.008,1.101,142.721,9,19.21,-12
Cyanobacteria,Nodularia spumigena,18.11402,59.0411,46.43500137,32.775,0.032,0.597,0.092,0.36,0.001,0.017,1.125,161.94,7.79,17.42,-9
Cyanobacteria,Nodularia spumigena,17.9032,58.85692,48.53300095,33.017,0.026,0.612,0.103,0.357,0.002,0.013,1.287,161.392,7.59,18.94,-1
Cyanobacteria,Nodularia spumigena,17.03853,58.64547,46.22999954,33.573,0.025,0.821,0.106,0.372,0.002,0.007,1.349,163.06,7.79,18.32,-16
Cyanobacteria,Nodularia spumigena,18.90833,60.13667,46.34999847,33.48,0.002,0.433,0.006,0.273,0,0.004,0.754,157.171,7.19,17.51,-86
Cyanobacteria,Nodularia spumigena,11.43333,58.25833,47.83399963,32.209,0.013,2.128,0.012,0.254,0.003,0.016,13.748,134.48,9.26,19.05,-19
Cyanobacteria,Nodularia spumigena,19.8095,63.525,47.5320015,35.81,0.188,2.506,0,0.2,0.001,0.014,1.596,157.802,5.91,16.63,-8
Cyanobacteria,Nodularia spumigena,17.61667,58.8,47.39400101,33.614,0.01,0.632,0.11,0.354,0.001,0.006,1.387,161.813,7.9,18.57,-15
Cyanobacteria,Nodularia spumigena,18.26617,62.864,48.19200134,34.782,0.04,1.716,0,0.209,0.001,0.007,1.146,153.718,6.08,17.33,-35
Cyanobacteria,Nodularia spumigena,17.56452,62.34492,48.00899887,33.621,0.334,3.331,0.001,0.219,0.001,0.034,0.847,153.938,6.37,16.94,-27
Cyanobacteria,Nodularia spumigena,20.33733,63.70217,47.48699951,35.042,0.893,2.564,0,0.164,0.001,0.017,2.201,156.566,5.8,17.9,-5
Cyanobacteria,Nodularia spumigena,19.80733,63.52483,47.5320015,35.81,0.188,2.506,0,0.2,0.001,0.014,1.596,157.802,5.91,16.63,-8
Cyanobacteria,Nodularia spumigena,18.26333,62.86383,48.19200134,34.782,0.04,1.716,0,0.209,0.001,0.007,1.146,153.718,6.08,17.33,-35
Cyanobacteria,Nodularia spumigena,18.26317,62.863,48.19200134,34.782,0.04,1.716,0,0.209,0.001,0.007,1.146,153.718,6.08,17.33,-35
Cyanobacteria,Nodularia spumigena,11.692,57.67817,47.29000092,33.27,0.186,2.271,0.017,0.244,0.004,0.032,16.321,136.74,10.28,18.76,-8
