taxa,species,decimalLongitude,decimalLatitude,presence
Cyanobacteria,Dolichospermum ,11.310001,64.47,1
Cyanobacteria,Dolichospermum ,22.3745,65.80733,1
Cyanobacteria,Dolichospermum ,18.8527,59.31379,1
Cyanobacteria,Dolichospermum ,10.569384,59.814999,1
Cyanobacteria,Dolichospermum ,18.70947,59.33299,1
Cyanobacteria,Dolichospermum ,18.26417,62.8635,1
Cyanobacteria,Dolichospermum ,19.81867,63.49967,1
Cyanobacteria,Dolichospermum ,18.2655,62.86367,1
Cyanobacteria,Dolichospermum ,19.81917,63.499,1
Cyanobacteria,Dolichospermum ,22.44717,65.72967,1
Cyanobacteria,Dolichospermum ,18.90051,59.74159,1
Cyanobacteria,Dolichospermum ,22.37533,65.80733,1
Cyanobacteria,Dolichospermum ,18.2655,62.8635,1
Cyanobacteria,Dolichospermum ,18.26467,62.86367,1
Cyanobacteria,Dolichospermum ,22.44767,65.73033,1
Cyanobacteria,Dolichospermum ,18.6845,63.237,1
Cyanobacteria,Dolichospermum ,18.70367,63.21883,1
Cyanobacteria,Dolichospermum ,18.755,63.22217,1
Cyanobacteria,Dolichospermum ,18.703,63.22833,1
Cyanobacteria,Dolichospermum ,18.85633,63.28367,1
Cyanobacteria,Dolichospermum ,18.86833,63.28133,1
Cyanobacteria,Dolichospermum ,18.12167,62.814,1
Cyanobacteria,Dolichospermum ,18.0505,62.83117,1
Cyanobacteria,Dolichospermum ,18.07633,62.8365,1
Cyanobacteria,Dolichospermum ,18.0035,62.8365,1
Cyanobacteria,Dolichospermum ,18.32867,62.87167,1
Cyanobacteria,Dolichospermum ,18.52844,59.23552,1
Cyanobacteria,Dolichospermum ,18.263,62.8635,1
Cyanobacteria,Dolichospermum ,22.37617,65.80833,1
Cyanobacteria,Dolichospermum ,22.44667,65.73417,1
Cyanobacteria,Dolichospermum ,18.73267,63.2345,1
Cyanobacteria,Dolichospermum ,18.86083,63.28167,1
Cyanobacteria,Dolichospermum ,18.8735,63.265,1
Cyanobacteria,Dolichospermum ,18.08867,62.81617,1
Cyanobacteria,Dolichospermum ,18.03383,62.85067,1
Cyanobacteria,Dolichospermum ,18.32533,62.87,1
Cyanobacteria,Dolichospermum ,18.51828,63.07405,1
Cyanobacteria,Dolichospermum ,18.48355,63.0407,1
Cyanobacteria,Dolichospermum ,19.07576,59.72191,1
Cyanobacteria,Dolichospermum ,18.95156,59.77823,1
Cyanobacteria,Dolichospermum ,18.26383,62.863,1
Cyanobacteria,Dolichospermum ,22.44667,65.73,1
Cyanobacteria,Dolichospermum ,19.81967,63.49883,1
Cyanobacteria,Dolichospermum ,18.43413,62.9496,1
Cyanobacteria,Dolichospermum ,22.4465,65.72967,1
Cyanobacteria,Dolichospermum ,18.75983,63.22233,1
Cyanobacteria,Dolichospermum ,18.71267,63.231,1
Cyanobacteria,Dolichospermum ,17.70367,62.99317,1
Cyanobacteria,Dolichospermum ,18.8795,63.26983,1
Cyanobacteria,Dolichospermum ,18.56283,63.09017,1
Cyanobacteria,Dolichospermum ,18.03633,62.82367,1
Cyanobacteria,Dolichospermum ,18.329,62.87117,1
